chr	pos
1	152279179
1	162381781
1	248366698
2	209113112
3	127786281
3	130463923
4	8603122
4	40045275
4	122681459
7	27196035
8	22081799
8	38262000
8	56436610
9	18928550
10	98129891
11	840267
11	55703053
11	56949447
11	104897057
12	10131591
12	119592158
13	21562142
14	50269393
14	64683079
15	78882881
15	90265288
17	915191
17	7577157
17	7577574
17	13400056
17	15532459
22	37603530
22	43898541
X	47774744
X	48831681
X	66863188
X	70321974
X	70776956
X	71350423
X	100077401
X	100490939
X	105280487
X	117773444
X	130217833
X	135428469
X	151336930
X	153195616
X	153640435
