chr	start	end	WT.count	mut.count	subclonal.CN	nMaj1	nMin1	frac1	nMaj2	nMin2	frac2	phase	mutation.copy.number	subclonal.fraction	no.chrs.bearing.mut
1	12025619	12025620	98	13	2	1	1	0.32	1	1	0.68	unphased	1.23281175912755	1.23281175912755	1
1	38082233	38082234	136	9	2	1	1	1	NA	NA	NA	unphased	0.653357531760436	0.653357531760436	1
1	40434238	40434239	83	6	2	1	1	1	NA	NA	NA	unphased	0.709639266706091	0.709639266706091	1
1	46726567	46726568	57	6	2	1	1	1	NA	NA	NA	unphased	1.00250626566416	1.00250626566416	1
1	74507071	74507072	78	4	2	1	1	1	NA	NA	NA	unphased	0.513478818998716	0.513478818998716	1
1	200730066	200730067	162	10	1.64	2	1	0.32	1	0	0.68	unphased	0.591064871481028	0.591064871481028	1
1	235929472	235929473	269	21	4	3	1	1	NA	NA	NA	unphased	0.907078039927405	0.907078039927405	1
10	114192018	114192019	22	3	2	1	1	1	NA	NA	NA	unphased	1.26315789473684	1.26315789473684	1
11	6654077	6654078	34	5	2.32	2	1	0.32	1	1	0.68	unphased	1.39055330634278	1.39055330634278	1
11	6661405	6661406	18	4	2.32	2	1	0.32	1	1	0.68	unphased	1.97205741626794	1.97205741626794	1
11	6661974	6661975	105	5	2.32	2	1	0.32	1	1	0.68	unphased	0.493014354066986	0.493014354066986	1
11	46895187	46895188	40	3	4.72	3	3	0.68	1	1	0.32	unphased	0.924161566707466	0.924161566707466	1
11	47189574	47189575	49	18	2	2	0	1	NA	NA	NA	unphased	2.827965435978	1.413982717989	2
11	67219122	67219123	48	6	2	2	0	1	NA	NA	NA	unphased	1.16959064327485	1.16959064327485	1
11	73941321	73941322	124	16	2	2	0	1	NA	NA	NA	unphased	1.20300751879699	1.20300751879699	1
12	1984460	1984461	48	7	2	1	1	1	NA	NA	NA	unphased	1.33971291866029	1.33971291866029	1
12	4479908	4479909	147	9	2	1	1	1	NA	NA	NA	unphased	0.607287449392713	0.607287449392713	1
12	7651574	7651575	157	10	2	1	1	1	NA	NA	NA	unphased	0.630318310746927	0.630318310746927	1
12	72343393	72343394	69	6	2	1	1	1	NA	NA	NA	unphased	0.842105263157895	0.842105263157895	1
12	81239531	81239532	73	7	2	1	1	1	NA	NA	NA	unphased	0.921052631578947	0.921052631578947	1
13	46554063	46554064	61	7	2	1	1	1	NA	NA	NA	unphased	1.08359133126935	1.08359133126935	1
14	103187692	103187693	35	4	2	1	1	1	NA	NA	NA	unphased	1.07962213225371	1.07962213225371	1
14	105413781	105413782	311	31	2	1	1	1	NA	NA	NA	unphased	0.95413973530317	0.95413973530317	1
15	85383422	85383423	81	8	2	1	1	1	NA	NA	NA	unphased	0.946185688941455	0.946185688941455	1
16	4016703	4016704	236	9	2	1	1	1	NA	NA	NA	unphased	0.386680988184748	0.386680988184748	1
16	19477463	19477464	37	3	2	1	1	1	NA	NA	NA	unphased	0.789473684210526	0.789473684210526	1
16	30001124	30001125	43	3	2	1	1	1	NA	NA	NA	unphased	0.68649885583524	0.68649885583524	1
16	70512185	70512186	50	6	1.21	1	1	0.21	1	0	0.79	unphased	1.04317669172932	1.04317669172932	1
16	81819644	81819645	73	16	1.21	1	1	0.21	1	0	0.79	unphased	1.7503489059728	1.7503489059728	1
17	7577081	7577082	48	5	2	1	1	0.23	1	1	0.77	unphased	0.99304865938431	0.99304865938431	1
17	29622473	29622474	88	15	2	1	1	0.23	1	1	0.77	unphased	1.53295861011753	1.53295861011753	1
17	33481604	33481605	60	7	2	1	1	0.23	1	1	0.77	unphased	1.09976433621367	1.09976433621367	1
17	34235583	34235584	41	6	2	1	1	0.23	1	1	0.77	unphased	1.3437849944009	1.3437849944009	1
17	43194010	43194011	71	25	3	2	1	1	NA	NA	NA	unphased	3.00164473684211	1.50082236842105	2
17	48356302	48356303	51	7	2.98	3	1	0.66	1	0	0.34	unphased	1.38869328493648	1.38869328493648	1
17	79805208	79805209	70	12	2.36	2	1	0.68	1	0	0.32	unphased	1.59311938382542	1.59311938382542	1
19	9272146	9272147	70	4	2	1	1	1	NA	NA	NA	unphased	0.568990042674253	0.568990042674253	1
19	16222607	16222608	112	15	2	1	1	1	NA	NA	NA	unphased	1.24326564442603	1.24326564442603	1
19	54444734	54444735	101	15	2	1	1	1	NA	NA	NA	unphased	1.36116152450091	1.36116152450091	1
19	54849840	54849841	138	10	2	1	1	1	NA	NA	NA	unphased	0.711237553342817	0.711237553342817	1
19	57909875	57909876	69	7	2	1	1	1	NA	NA	NA	unphased	0.969529085872576	0.969529085872576	1
2	11780576	11780577	125	6	2	1	1	1	NA	NA	NA	unphased	0.482121333869024	0.482121333869024	1
2	50765540	50765541	405	37	2	1	1	1	NA	NA	NA	unphased	0.881162181471779	0.881162181471779	1
2	74719462	74719463	64	8	2	1	1	1	NA	NA	NA	unphased	1.16959064327485	1.16959064327485	1
2	86310234	86310235	51	5	2	1	1	1	NA	NA	NA	unphased	0.93984962406015	0.93984962406015	1
2	89976406	89976407	196	14	2	1	1	1	NA	NA	NA	unphased	0.701754385964912	0.701754385964912	1
2	102959787	102959788	153	11	2	1	1	1	NA	NA	NA	unphased	0.706033376123235	0.706033376123235	1
2	105859460	105859461	53	6	2	1	1	1	NA	NA	NA	unphased	1.07047279214987	1.07047279214987	1
2	182767190	182767191	59	4	2	1	1	1	NA	NA	NA	unphased	0.668337510442774	0.668337510442774	1
2	241494420	241494421	134	15	2	1	1	1	NA	NA	NA	unphased	1.05969622041681	1.05969622041681	1
20	1456768	1456769	63	5	2	1	1	0.28	1	1	0.72	unphased	0.773993808049536	0.773993808049536	1
21	34799306	34799307	269	18	1.19	1	1	0.19	1	0	0.81	unphased	0.609385659270126	0.609385659270126	1
22	22036745	22036746	65	5	2	1	1	0.21	1	1	0.79	unphased	0.75187969924812	0.75187969924812	1
