key_chr	key_pos	r_ccf	fast_ccf
1	150689710	0.949862258953168	0.7039
1	160535278	0.889576883384933	0.7191
11	111420459	0.613406795224977	0.6228
12	7654058	0.822289562289562	1
17	11522936	1.33535353535354	0.6938
19	9048898	0.76043453401944	0.7837
2	145156310	1.1566985645933	0.9324
5	140626431	0.848484848484848	0.8244
7	129067072	1.0040404040404	1
7	142045769	1.14385115716231	1
8	10473975	0.778743315508021	0.7787
8	143995724	0.975404936943398	0.9217
8	66989047	1.12088274044796	1
9	140075363	1.13904761904762	1
