chr	pos
1	1647810
1	6530331
1	17570601
1	24432461
1	70736578
1	75009675
1	115258747
1	152084431
1	152636630
1	156706504
1	161748109
1	201868809
1	207975820
1	245674413
2	231120
2	10582162
2	11751091
2	20518361
2	27361377
2	27599214
2	56108782
2	73800436
2	73800437
2	96940753
2	110015235
2	110376285
2	132021619
2	197541292
2	206921556
2	206980766
2	232070954
2	239009073
3	36897544
3	48577140
3	85961570
3	98002358
3	124438029
3	130293144
3	154860044
3	172166021
3	185191361
4	1206094
4	3478174
4	48082098
4	48542543
4	55155026
4	55964865
4	128957155
5	182435
5	32395328
5	54696215
5	82834887
5	95067647
5	140077223
5	140250863
5	140481422
5	140565793
5	140772399
5	141974800
5	156936355
5	169805848
5	178030926
6	27782326
6	43222801
6	52958264
6	70506763
6	153019042
6	154331649
7	1937973
7	18767232
7	21901606
7	25181924
7	27147349
7	27147350
7	45010261
7	47342938
7	72743428
7	74159202
7	78636413
7	80108232
7	94296478
7	126079160
7	139824536
7	150171427
8	10470642
8	54792139
8	67963526
8	97506425
8	145027905
9	19786214
9	19786265
9	34646656
9	35813473
9	37034100
9	71098912
9	80851471
9	101243226
9	117849073
9	133787222
9	138236177
10	6261543
10	7205864
10	32742297
10	47158795
10	93754330
10	94835660
10	95719915
11	4159452
11	6621803
11	17448693
11	40137304
11	92533101
11	124971194
11	124971195
11	128842075
11	133790076
12	25398281
12	50472720
12	55615516
12	81102677
13	50207394
14	105353414
15	22473190
15	28447612
15	41853761
15	53901721
15	64673582
15	88669526
16	1251958
16	4562366
16	15818499
16	23208640
16	24920271
16	30128131
16	55706025
16	58071511
16	64984776
16	67978874
16	70913228
16	89882334
17	7578406
17	34074205
17	61995189
17	78936325
18	48603147
19	8553844
19	14037686
19	15366198
19	17922731
19	19162759
19	23328693
19	30020834
19	37441606
19	38954138
19	39950201
19	49340700
19	54417766
19	55669006
19	57888634
20	8131012
20	20350564
20	23965689
20	29978354
21	15481200
21	19632557
21	47836551
22	29695770
22	46762892
X	37028496
X	54784301
X	70460764
X	72783195
X	78012169
X	88009044
X	107829919
X	117742039
X	128709186
X	136113834
X	138724659
X	153032872
