chr	pos
1	9811620
1	10434992
1	94486813
1	151220444
1	152191793
1	161130441
1	183617622
1	201618049
2	31403830
2	43010487
2	62449365
2	127811543
2	131878306
2	137748460
2	174062657
2	232225546
2	238296453
3	52510551
3	52561903
3	122459462
4	54257252
4	189020065
5	864589
5	10434489
5	94991955
6	50696636
6	109787628
6	119295656
6	126081043
6	168289932
7	2771312
7	72416719
7	90747502
8	86057705
8	89053972
8	95539408
8	108315583
8	120795791
8	146107584
10	13541852
11	26547204
11	44941490
11	57322034
11	57886193
11	57982413
11	65767103
12	14576921
13	21742376
13	28122525
14	57046731
14	65233363
14	105411931
15	54556494
15	101929744
16	777405
16	18895427
16	32264872
17	2570445
17	7577559
17	76440749
18	28710755
19	4362634
19	10385609
19	39734285
19	57642416
20	18143422
20	62594090
21	31743965
X	64958961
X	76709751
X	140270682
X	153149697
X	153631921
