chr	pos
1	3649574
1	20072087
1	39784191
1	43903566
1	65867488
1	78099026
1	91818659
1	99772460
1	110255875
1	142804465
1	157522236
1	175956140
1	233482260
2	1507739
2	20153616
2	27307330
2	31189097
2	60688057
2	109524430
2	145156488
2	179438659
2	179482074
2	179582007
2	182400376
2	196661389
2	198051803
2	220496719
2	234750463
2	238726879
3	2928747
3	9406890
3	14561971
3	25833095
3	51989764
3	95374183
3	119338486
4	38798195
4	39117029
4	81188013
4	85694026
4	89198310
4	126412333
4	153692591
5	33596160
5	40716207
5	55147430
5	66432404
5	71752252
5	77072052
5	82835030
5	93732205
5	112175390
6	28541547
6	33703163
6	83845561
6	96651752
6	117710674
6	146350970
7	1784619
7	45743035
7	56007632
7	75915087
7	82996937
7	111575673
7	121741422
8	11660315
8	55055253
8	92147912
8	98863687
8	110456059
8	139153542
8	142195320
8	145724400
9	5563200
9	19450753
9	34520703
9	40774481
9	40774511
9	115805204
10	3202509
10	32863418
10	43977171
10	49687765
10	50004350
10	70161415
10	82180228
10	106974336
10	115338445
11	290894
11	1268507
11	1774740
11	2337527
11	8479011
11	12234929
11	55872826
11	55890162
11	64056664
11	64416251
11	65375494
11	107488877
11	123811079
12	8212197
12	48723154
12	52312829
12	52881314
12	56437919
12	62895463
12	88478479
12	122723193
13	29600872
13	32526962
13	32753134
13	41400646
13	73636648
13	109793636
13	113798330
14	23859424
14	52505473
14	64469789
14	71197353
14	74035940
14	94545406
15	20488798
15	23811177
15	25924816
15	25972338
15	27018820
15	35086935
15	45456989
15	67457397
15	73617639
15	78632767
15	89422214
15	92988152
15	99671515
16	2114383
16	12450087
16	20681148
16	29809805
16	30795121
16	31500446
16	57732004
16	67917775
16	85813406
17	7578419
17	11650990
17	39261761
17	39383282
17	41365203
17	66525038
17	72589089
17	73257639
17	76399895
17	79852410
17	80053330
18	48604789
19	1632093
19	1990012
19	4282901
19	9581132
19	11130337
19	20727780
19	34699944
19	37005197
19	37903587
19	38379198
19	38924405
19	39027407
19	49217211
19	56047629
19	57327145
20	44596232
20	60963528
21	27137050
21	45553580
22	19903310
22	24057198
22	26689087
22	32200870
22	32756421
22	45828244
22	46794447
22	51160702
X	23411706
X	54841908
X	72347268
X	91132744
X	114424852
