chr	pos
1	18811571
1	26288384
1	33429684
1	101006532
1	113237494
1	114522738
1	160342127
1	163039075
1	179319558
2	11725936
2	108488143
2	113956437
2	208486600
2	239039152
2	239039153
3	13611885
3	42201816
3	49949382
3	88205465
3	113377181
3	125032253
3	184025149
4	144141710
4	173961238
4	174239640
4	183245238
4	187004353
5	33441093
5	38258772
5	71015766
5	150133041
5	156671455
5	180045796
6	32097573
6	43466745
6	144508308
6	151054930
6	159420999
7	5645120
7	44268995
7	87912402
7	107577548
8	3253749
8	110477416
8	124786386
8	144917792
9	71395705
9	86495384
9	124979514
9	128230280
9	130476392
9	141069913
10	61868591
10	75877813
10	99120318
10	104136491
11	58294737
11	63672367
12	46327006
12	52401044
12	99478796
12	111345141
12	122406042
13	26621071
13	45149121
13	48807488
14	63860645
14	95590600
15	40259799
15	52615613
15	57730578
15	71193333
15	72874471
15	79165509
15	91298123
15	101833253
16	343699
16	8875394
16	70818677
17	1183315
17	4997368
17	10315977
17	37880219
17	37880220
17	72913947
17	74473013
18	60985986
19	23159254
19	45324244
19	45716264
19	56156191
20	585018
20	62595674
21	38878548
22	24622177
22	31529898
X	18598004
X	47326949
X	67731818
X	69844743
X	70350038
X	135630875
X	152988658
X	153216353
