sample	chr	pos	ccf_old_v100_raw	ccf_old_v100_valid	ccf_over_one_flag
TCGA-62-A46P-01	1	12089916	1.2987012987013	NA	TRUE
TCGA-62-A46P-01	1	13108858	1.50793650793651	NA	TRUE
TCGA-62-A46P-01	1	14068652	0.540540540540541	0.540540540540541	FALSE
TCGA-62-A46P-01	1	15755205	0.779220779220779	0.779220779220779	FALSE
TCGA-62-A46P-01	1	16560261	1.03343465045593	NA	TRUE
TCGA-62-A46P-01	1	25611132	1.05820105820106	NA	TRUE
TCGA-62-A46P-01	1	27429729	0.649350649350649	0.649350649350649	FALSE
TCGA-62-A46P-01	1	57209876	0.197044334975369	0.197044334975369	FALSE
TCGA-62-A46P-01	1	57611048	0.25974025974026	0.25974025974026	FALSE
TCGA-62-A46P-01	1	66833711	0.32258064516129	0.32258064516129	FALSE
TCGA-62-A46P-01	1	71512735	0.19047619047619	0.19047619047619	FALSE
TCGA-62-A46P-01	1	74507071	0.784929356357928	0.784929356357928	FALSE
TCGA-62-A46P-01	1	75038870	0.795287187039764	0.795287187039764	FALSE
TCGA-62-A46P-01	1	76254869	0.987654320987654	0.987654320987654	FALSE
TCGA-62-A46P-01	1	76349313	1.2624584717608	NA	TRUE
TCGA-62-A46P-01	1	103491393	0.665742024965326	0.665742024965326	FALSE
TCGA-62-A46P-01	1	109524373	0.985221674876847	0.985221674876847	FALSE
TCGA-62-A46P-01	1	115220125	0.285714285714286	0.285714285714286	FALSE
TCGA-62-A46P-01	1	150316689	0.525974025974026	0.525974025974026	FALSE
TCGA-62-A46P-01	1	152193272	1.02944015444015	NA	TRUE
TCGA-62-A46P-01	1	153631218	0.857142857142857	0.857142857142857	FALSE
TCGA-62-A46P-01	1	157665957	1.07448979591837	NA	TRUE
TCGA-62-A46P-01	1	158548862	0.247938071780436	0.247938071780436	FALSE
TCGA-62-A46P-01	1	160098612	1.04081632653061	NA	TRUE
TCGA-62-A46P-01	1	162748459	0.998972250770812	0.998972250770812	FALSE
TCGA-62-A46P-01	1	167798556	0.39652870493992	0.39652870493992	FALSE
TCGA-62-A46P-01	1	190068209	0.925714285714286	0.925714285714286	FALSE
TCGA-62-A46P-01	1	197150200	0.601113172541744	0.601113172541744	FALSE
TCGA-62-A46P-01	1	204006526	1.04081632653061	NA	TRUE
TCGA-62-A46P-01	1	207105832	0.994736842105263	0.994736842105263	FALSE
TCGA-62-A46P-01	1	208215591	0.938223938223938	0.938223938223938	FALSE
TCGA-62-A46P-01	1	210273369	0.514285714285714	0.514285714285714	FALSE
TCGA-62-A46P-01	1	215259791	1.04142857142857	NA	TRUE
TCGA-62-A46P-01	1	228466469	0.571428571428571	0.571428571428571	FALSE
TCGA-62-A46P-01	1	233393862	0.701298701298701	0.701298701298701	FALSE
TCGA-62-A46P-01	1	237870281	1.12781954887218	NA	TRUE
TCGA-62-A46P-01	1	238053382	1.07142857142857	NA	TRUE
TCGA-62-A46P-01	1	238090663	0.826530612244898	0.826530612244898	FALSE
TCGA-62-A46P-01	10	25887224	1.18404118404118	NA	TRUE
TCGA-62-A46P-01	10	50951015	0.571428571428572	0.571428571428572	FALSE
TCGA-62-A46P-01	10	55569092	0.816326530612245	0.816326530612245	FALSE
TCGA-62-A46P-01	10	63850781	1.23076923076923	NA	TRUE
TCGA-62-A46P-01	10	70451200	0.964749536178108	0.964749536178108	FALSE
TCGA-62-A46P-01	10	72517992	0.849420849420849	0.849420849420849	FALSE
TCGA-62-A46P-01	10	73206101	0.745341614906832	0.745341614906832	FALSE
TCGA-62-A46P-01	10	73498310	0.754716981132076	0.754716981132076	FALSE
TCGA-62-A46P-01	10	75674567	0.816326530612245	0.816326530612245	FALSE
TCGA-62-A46P-01	10	77158972	0.879120879120879	0.879120879120879	FALSE
TCGA-62-A46P-01	10	78646984	0.997304582210243	0.997304582210243	FALSE
TCGA-62-A46P-01	10	98156977	0.969387755102041	0.969387755102041	FALSE
TCGA-62-A46P-01	10	105206866	0.540540540540541	0.540540540540541	FALSE
TCGA-62-A46P-01	10	114925398	0.889487870619946	0.889487870619946	FALSE
TCGA-62-A46P-01	11	977185	1	1	FALSE
TCGA-62-A46P-01	11	1628987	0.664451827242525	0.664451827242525	FALSE
TCGA-62-A46P-01	11	1628988	0.660611065235343	0.660611065235343	FALSE
TCGA-62-A46P-01	11	26463640	0.870748299319728	0.870748299319728	FALSE
TCGA-62-A46P-01	11	31671713	0.380952380952381	0.380952380952381	FALSE
TCGA-62-A46P-01	11	32622378	0.678925035360679	0.678925035360679	FALSE
TCGA-62-A46P-01	11	55111092	0.926640926640927	0.926640926640927	FALSE
TCGA-62-A46P-01	11	55681485	1.10154905335628	NA	TRUE
TCGA-62-A46P-01	11	55904970	0.408163265306122	0.408163265306122	FALSE
TCGA-62-A46P-01	11	56020129	0.95852534562212	0.95852534562212	FALSE
TCGA-62-A46P-01	11	56143984	0.828789531079607	0.828789531079607	FALSE
TCGA-62-A46P-01	11	57996080	1.25435540069686	NA	TRUE
TCGA-62-A46P-01	11	60885736	1.11545988258317	NA	TRUE
TCGA-62-A46P-01	11	61729910	0.714285714285714	0.714285714285714	FALSE
TCGA-62-A46P-01	11	62932091	0.685714285714286	0.685714285714286	FALSE
TCGA-62-A46P-01	11	68518116	1.2987012987013	NA	TRUE
TCGA-62-A46P-01	11	92592421	0.496894409937888	0.496894409937888	FALSE
TCGA-62-A46P-01	11	106681040	0.852130325814536	0.852130325814536	FALSE
TCGA-62-A46P-01	11	117342708	0.703296703296703	0.703296703296703	FALSE
TCGA-62-A46P-01	11	118370085	0.257142857142857	0.257142857142857	FALSE
TCGA-62-A46P-01	11	123508996	1.02040816326531	NA	TRUE
TCGA-62-A46P-01	12	1702917	0.186335403726708	0.186335403726708	FALSE
TCGA-62-A46P-01	12	2017072	0.897959183673469	0.897959183673469	FALSE
TCGA-62-A46P-01	12	4919562	0.980810234541578	0.980810234541578	FALSE
TCGA-62-A46P-01	12	5154588	0.79734219269103	0.79734219269103	FALSE
TCGA-62-A46P-01	12	7084882	0.767195767195767	0.767195767195767	FALSE
TCGA-62-A46P-01	12	8084037	0.777265745007681	0.777265745007681	FALSE
TCGA-62-A46P-01	12	10467455	0.549450549450549	0.549450549450549	FALSE
TCGA-62-A46P-01	12	31632607	2.14285714285714	NA	TRUE
TCGA-62-A46P-01	12	46298746	0.552995391705069	0.552995391705069	FALSE
TCGA-62-A46P-01	12	50045036	0.902255639097744	0.902255639097744	FALSE
TCGA-62-A46P-01	12	51213568	0.649350649350649	0.649350649350649	FALSE
TCGA-62-A46P-01	12	52967152	0.783208020050125	0.783208020050125	FALSE
TCGA-62-A46P-01	12	57594886	1.14735658042745	NA	TRUE
TCGA-62-A46P-01	12	68619419	0.787332691802992	0.787332691802992	FALSE
TCGA-62-A46P-01	12	75434969	0.886699507389163	0.886699507389163	FALSE
TCGA-62-A46P-01	12	75692561	0.548747027620267	0.548747027620267	FALSE
TCGA-62-A46P-01	12	78571078	1.38147566718995	NA	TRUE
TCGA-62-A46P-01	12	80199487	1.9047619047619	NA	TRUE
TCGA-62-A46P-01	12	80199488	1.9047619047619	NA	TRUE
TCGA-62-A46P-01	12	85546922	0.939334637964775	0.939334637964775	FALSE
