key_chr	key_pos	r_ccf	fast_ccf
1	158644206	1.19825282631038	1
1	17257065	0.974380952380953	1
1	176526098	0.991861471861472	0.9287
1	39340852	0.575583684950774	0.5351
1	70505073	0.662200647249191	0.7049
1	87101776	0.817222734254993	0.8826
10	134664758	1.49147435969141	0.9706
10	134664759	1.3888432032572	1
10	50594758	0.594828571428571	0.6443
10	72285877	1.46644126621266	1
10	78850213	1.5283365144619	1
11	20673895	1.47942672214517	1
11	55433201	1.86741363211951	1
11	57970964	1.45929339477727	1
11	77671418	1.02206736353078	0.9709
12	54963069	1.35574229691877	1
13	24380111	1.06799656799657	0.8746
14	74086095	1.29015495086924	1
15	41377597	1.04421282103686	0.643
15	62320619	1.41004329004329	1
19	15651462	0.670690811535882	0.6614
19	18329183	0.949315376873775	1
19	35451811	0.898168830564475	1
19	36027810	1.13072170511264	1
2	190323581	0.945656125045438	0.9421
2	198950911	1.06701940035273	1
2	207008741	0.875809523809524	0.8163
2	85590289	1.52201257861635	1
20	40790177	1.18486227577137	1
3	128813856	0.863034705407587	1
4	114279550	1.05820105820106	1
4	143003332	0.938967136150235	0.9456
4	2883688	1.07128599942971	1
4	57181607	0.8859357696567	0.918
4	70513224	1.39799038881608	1
6	155129838	0.672268907563025	0.6645
6	26388252	0.878917145200985	1
6	26431801	1.29109426627794	0.7729
6	29633942	1.06020139811349	0.9469
6	31657481	1.04654456654457	1
6	32811806	0.902459568733154	1
7	123302840	0.792342857142857	0.8254
7	131866287	1.44269097652556	0.9723
7	20784905	1.29042658730159	1
7	34125411	1.42562592047128	1
7	4116809	1.2231746031746	0.9016
7	45930211	0.662873999157185	0.6571
8	104513164	0.987878787878788	0.9327
8	145218704	0.985221674876847	0.7843
8	42038086	1.00226757369615	1
9	137708881	1.02651839178785	1
9	92006263	1.2531328320802	1
