chr	pos
1	16475488
1	53712713
1	86167916
1	159778131
2	42557389
2	100015914
2	179456111
2	234638590
2	236792018
3	9788110
3	42304950
3	58135898
3	72881545
3	178960646
3	183017880
4	20258328
5	32790311
5	121780389
5	137676979
5	137676980
5	140752308
6	31939335
6	43498437
6	55142245
6	62604622
6	144811284
6	151674035
6	160183118
6	168347513
7	76826164
7	104783659
7	123152366
7	128452883
7	129756471
7	150649865
7	151878422
8	12882615
8	24813060
8	70515847
8	103266727
9	8341221
9	99581195
10	5788734
10	25755626
10	28970452
10	91144274
10	101996700
11	4825301
11	64014061
12	3747327
12	49062931
12	117657915
14	19562079
14	22102804
14	23393691
14	24760391
14	36104729
14	70714100
14	80328398
14	102484912
14	105267880
15	55722699
15	91172533
16	1486698
16	15129917
16	31488190
16	68012250
16	68373404
16	68716217
16	75127548
17	10608320
17	26906801
17	33289174
17	33289175
17	44590509
17	56635170
17	76045429
18	9221917
18	21116701
18	43666115
19	9086492
19	17389692
19	18377324
19	38910519
19	42879872
20	45003925
20	56730567
22	23653908
22	38884294
X	38665490
X	106236528
