chr	pos
1	989313
1	1720558
1	4772604
1	6181216
1	6285255
1	6314755
1	9324290
1	11158106
1	17279878
1	17735625
1	19666098
1	20005666
1	22161191
1	23234628
1	26012962
1	26189723
1	27101370
1	27630137
1	27873946
1	28290024
1	29069851
1	31347383
1	32050601
1	32130816
1	33799804
1	35916052
1	36939479
1	37316002
1	39788607
1	42880409
1	44156708
1	45270998
1	45295123
1	46972679
1	53681698
1	56977736
1	57173319
1	64698334
1	85431281
1	87041173
1	90180448
1	90400076
1	101456141
1	109177768
1	109336253
1	110038893
1	112318870
1	113057604
1	114226149
1	145699022
1	147380399
1	149857821
1	150444464
1	150636167
1	150689638
1	150790487
1	151105902
1	151340694
1	151400737
1	151553473
1	152278093
1	153913419
1	154030638
1	154321480
1	155874275
1	155920810
1	156702121
1	159170689
1	159799839
1	173822937
1	180914516
1	183511408
1	197398616
1	201618018
1	202698198
1	204588019
1	205210851
1	205498652
1	206757996
1	214170044
1	214556938
1	220340962
1	221057685
1	223178967
1	226027660
1	228210434
1	228557668
1	233190117
1	238090718
1	245861488
1	248366442
1	249211136
2	1652754
2	9528611
2	15372633
2	24262246
2	26689975
2	26741909
2	27658073
2	27688651
2	44100941
2	54876764
2	61175177
2	73316367
2	73677817
2	74605228
2	75745250
2	79384321
2	87240173
2	90044403
2	90139530
2	96957583
2	97464908
2	97527616
2	105859517
2	108626820
2	130949671
2	131520231
2	141356218
2	149853788
2	152387573
2	152484040
2	155711423
2	157186312
2	160994350
2	166894441
2	168067347
2	170099968
2	170938436
2	176983939
2	179401235
2	179501179
2	183582840
2	201324531
2	201337651
2	202245769
2	204801510
2	207025333
2	219494309
2	219525928
2	219736335
2	220399917
2	223489482
2	224849604
2	231742222
2	231927025
2	233621023
2	233990478
2	241401916
2	241402907
2	241569781
2	241737144
3	8543572
3	11067934
3	12856694
3	12977620
3	15493126
3	17448086
3	38755531
3	39139663
3	39373861
3	42572369
3	47385480
3	47882577
3	48559455
3	48670955
3	48719968
3	50367973
3	51378749
3	51993254
3	53785896
3	58108882
3	62385086
3	62451122
3	99569644
3	101284918
3	108391473
3	111426772
3	111927206
3	113184565
3	114070734
3	119900063
3	122002728
3	122811251
3	123419105
3	124739857
3	126723743
3	127336184
3	127396381
3	127399182
3	128182162
3	129275464
3	131208896
3	149678734
3	155649577
3	171431771
3	179131318
3	184099097
3	184294936
3	187416696
3	192973512
3	193377284
3	195516082
4	876523
4	1067393
4	1347003
4	1991465
4	2129906
4	3449905
4	6925751
4	30723339
4	37831682
4	40946968
4	41608016
4	55140716
4	55984794
4	57777468
4	68610374
4	68610375
4	69795695
4	70146235
4	70713451
4	74846961
4	76521466
4	79396694
4	87967875
4	89577167
4	100134802
4	102946626
4	119979079
4	126373019
4	145038028
4	151000106
4	162680660
4	165962457
4	186423412
4	187130278
5	666151
5	1470989
5	2755291
5	5462084
5	10227710
5	10290659
5	11082852
5	14366990
5	15928442
5	31538687
5	32059348
5	32263257
5	33459802
5	37064774
5	41313799
5	71524028
5	71756273
5	80548556
5	88119739
5	90368409
5	112327915
5	114610974
5	118969736
5	121188336
5	131325195
5	134118636
5	137206474
5	137802682
5	140182290
5	140182315
5	140229397
5	140249999
5	140431763
5	140503992
5	140516576
5	140589863
5	140625331
5	140712516
5	140750489
5	140792918
5	140871074
5	147889133
5	148756445
5	153830731
5	156741353
5	170669733
5	170725811
5	176011599
5	176638166
5	177651532
6	2124953
6	2685806
6	11185821
6	16143929
6	17507412
6	17507500
6	20490692
6	24473884
6	27420591
6	29364665
6	30670918
6	31867788
6	31896622
6	31915745
6	32805336
6	33137176
6	33157148
6	33177832
6	33235903
6	34824040
6	36651973
6	38652182
6	41900303
6	43024050
6	43099822
6	44199798
6	47649198
6	49425735
6	55443862
6	55638931
6	80223398
6	84884584
6	91261842
6	97058503
6	102503424
6	108492739
6	110636575
6	112493823
6	123319048
6	126080681
6	127775146
6	128388750
6	133849985
6	136913360
6	142399950
6	151671792
6	154412196
7	1192812
7	2404100
7	2691855
7	2751998
7	5662502
7	6193761
7	6639708
7	8126004
7	13949263
7	14647099
7	22767150
7	27285737
7	30094419
7	38829422
7	43916458
7	44431997
7	50467961
7	53104142
7	75140296
7	82580189
7	82583452
7	87006704
7	87838684
7	94898626
7	95705442
7	99305556
7	99690698
7	100172672
7	100243916
7	100357394
7	100479773
7	100490935
7	114284876
7	122078450
7	128807691
7	129064719
7	129756485
7	140482934
7	142045655
7	143088514
7	148701135
7	149474811
7	149485020
7	150839547
7	150839616
7	155595716
7	157049709
8	17102627
8	20107641
8	22140592
8	22415670
8	22472378
8	22884792
8	25701972
8	26627511
8	29921408
8	37730604
8	42611381
8	53073993
8	67342657
8	69002947
8	72211430
8	77766738
8	87486446
8	88365930
8	95188892
8	98943456
8	106814359
8	110576705
8	121216025
8	133196530
8	139890023
8	141321377
8	141745435
8	142222365
8	144993838
8	145001706
8	146107479
9	2643685
9	5763494
9	6328900
9	8449746
9	8524957
9	18504839
9	18622252
9	34381368
9	34517405
9	35809979
9	36211633
9	71861684
9	73152135
9	77442715
9	86465140
9	95078067
9	95766401
9	97088128
9	100082480
9	100137845
9	107602600
9	109687842
9	111741628
9	112963213
9	113547964
9	117103926
9	117106079
9	117666341
9	119249669
9	124535156
9	126143682
9	130198257
9	130293932
9	131671592
9	131832160
9	133512422
9	133738400
9	134346320
9	135073796
9	136083533
9	140361795
10	3189816
10	5691016
10	12131158
10	13264116
10	15145385
10	26463097
10	28272875
10	44874076
10	46272820
10	48428868
10	71883673
10	73575024
10	78647236
10	83635352
10	86007450
10	96495025
10	99132912
10	101486760
10	101825108
10	105362575
10	121596512
10	124273920
10	124810572
10	126714845
10	127462562
10	128973691
10	131977798
10	133949508
11	380294
11	720196
11	771082
11	792012
11	1262500
11	1267116
11	1780295
11	2416745
11	5510727
11	6519838
11	6913367
11	8060333
11	10503681
11	10503688
11	10786119
11	12901217
11	16340073
11	18332308
11	18956195
11	43465702
11	44098898
11	45893726
11	46921856
11	47360137
11	51515877
11	55036727
11	56467959
11	59415348
11	60615458
11	62455621
11	63672512
11	64627665
11	65124395
11	65303495
11	66834316
11	68664011
11	68822732
11	70507841
11	72004321
11	72141383
11	72420933
11	95519329
11	114183174
11	117310075
11	118984807
11	121476199
11	124761327
11	128781963
11	130289058
11	130784835
12	5154041
12	6161936
12	8375299
12	12788823
12	15035143
12	19653128
12	29630469
12	31135554
12	32135664
12	32902905
12	49170939
12	49998227
12	50472316
12	52184185
12	52681014
12	52882150
12	54379096
12	56721408
12	63543657
12	73056913
12	89744489
12	91348186
12	99020465
12	102125434
12	109522826
12	113534571
12	118199031
12	122213655
12	122359385
12	124416490
12	124824936
12	130648819
12	133254166
13	22246272
13	22255282
13	25029157
13	31227350
13	41767598
13	43180811
13	46629960
13	48947629
13	75915275
13	101755543
13	108863523
13	113053404
13	113212589
13	113772753
13	114083366
14	21876686
14	22192114
14	23444255
14	23884341
14	24566322
14	24760345
14	32142777
14	44974420
14	45513865
14	53518597
14	55433311
14	56763645
14	59965595
14	64496688
14	68191299
14	75143386
14	75558141
14	80668610
14	80677671
14	86088044
14	91444844
14	91700524
14	95903246
14	99641823
14	100615918
14	102482350
14	102816276
14	105054176
15	25953223
15	28386876
15	34649163
15	34657848
15	39544513
15	40294929
15	40993313
15	41145959
15	42363730
15	43443992
15	44858060
15	48733951
15	52667640
15	52903829
15	56388644
15	58306166
15	62985084
15	64506280
15	72197283
15	74327550
15	74335504
15	80263148
