chr	pos
1	26610960
1	55223667
1	110125139
1	114215971
1	149901201
1	218504436
1	247079688
2	18758106
2	44527210
2	63053404
2	71211788
2	102480456
2	207528016
3	16252717
3	98002657
3	99979907
3	100581210
3	108361316
3	134898809
3	147128148
3	160964220
3	168820002
3	175041982
3	190126157
4	78663292
4	147561898
4	170913317
5	2749144
5	134782734
5	140559571
5	140683100
5	140751993
6	6347382
6	30228327
6	31602683
6	43538730
6	46675847
6	46984378
6	51483903
6	69646543
6	90660240
6	116757221
6	136597367
6	144744731
7	5097054
7	5232793
7	12728265
7	99454479
7	100244204
7	137798437
7	151944987
8	133142173
8	133978813
8	144812471
9	21971108
9	96415539
9	131756661
11	2683075
11	5968936
11	10823029
11	12262632
11	33563995
11	49805525
11	55065669
11	59604772
11	124440808
11	134110004
12	1910794
12	8374885
12	9254085
12	9309875
12	69983305
12	102056230
12	121205313
13	36049605
14	78146233
14	103452887
14	106610768
15	22368703
15	25415755
15	34140515
15	84159572
15	88799404
15	89398697
16	30387188
16	51171069
16	67235439
16	72829882
16	75646238
16	85814033
17	7574018
17	8397153
17	11572981
17	21731553
17	42552210
17	61972921
18	22806812
18	22806906
18	48333143
18	54346645
19	2138653
19	2877375
19	3942235
19	10602757
19	11942863
19	38993345
19	39826633
19	39898939
19	41707249
19	43262270
19	46274874
19	48244172
19	50304834
19	51480737
19	55354350
19	55715222
19	57985691
20	5935770
20	9364857
20	17716460
20	34205755
20	36500461
21	10863033
21	43411999
22	23154511
22	30776280
22	37154416
X	54836335
X	75003765
X	106397344
X	128880276
X	128926639
X	130215870
X	134305100
X	153070332
