key_chr	key_pos	r_ccf	fast_ccf
1	146758077	0.509234587251829	0.8588
1	161160829	0.507515473032714	0.5278
1	176709119	0.861483271103302	0.8615
1	216062335	0.982242025054888	0.9952
1	55253465	0.985221674876847	0.7663
11	89537464	0.629621494984992	0.6296
14	23872969	0.899550224887556	0.8758
14	94464535	0.661790316962731	0.6618
17	46474063	0.828655439721999	0.8604
19	15350202	0.793847680476309	0.8163
19	55239117	0.938058748403576	0.9278
19	57325536	0.965811965811966	1
2	118579625	0.795755968169761	0.8134
2	179422207	0.975269940787182	0.9954
2	1926072	0.812724950655985	0.8127
2	207652825	0.893997445721584	0.9679
20	3180739	1.02714600146735	1
4	15937647	0.969142351900972	0.9767
5	154395249	1.14942528735632	1
9	138515896	0.999500249875062	0.9888
