chr	start	end	WT.count	mut.count	subclonal.CN	nMaj1	nMin1	frac1	nMaj2	nMin2	frac2	phase	mutation.copy.number	subclonal.fraction	no.chrs.bearing.mut
1	3342754	3342755	42	11	2	1	1	1	NA	NA	NA	unphased	1.15303983228512	1.15303983228512	1
1	6680253	6680254	44	11	2	1	1	1	NA	NA	NA	unphased	1.11111111111111	1.11111111111111	1
1	10067717	10067718	53	3	2	1	1	1	NA	NA	NA	unphased	0.297619047619048	0.297619047619048	1
1	11562936	11562937	26	9	2	1	1	1	NA	NA	NA	unphased	1.42857142857143	1.42857142857143	1
1	15541893	15541894	23	3	2	1	1	1	NA	NA	NA	unphased	0.641025641025641	0.641025641025641	1
1	15809790	15809791	75	13	2	1	1	1	NA	NA	NA	unphased	0.820707070707071	0.820707070707071	1
1	35561463	35561464	60	16	2	1	1	1	NA	NA	NA	unphased	1.16959064327485	1.16959064327485	1
1	36935425	36935426	38	10	2	1	1	1	NA	NA	NA	unphased	1.15740740740741	1.15740740740741	1
1	39321546	39321547	49	14	2	1	1	1	NA	NA	NA	unphased	1.23456790123457	1.23456790123457	1
1	39799676	39799677	134	6	2	1	1	1	NA	NA	NA	unphased	0.238095238095238	0.238095238095238	1
1	43239265	43239266	31	5	2	1	1	1	NA	NA	NA	unphased	0.771604938271605	0.771604938271605	1
1	44422326	44422327	86	13	2	1	1	1	NA	NA	NA	unphased	0.729517396184063	0.729517396184063	1
1	57528577	57528578	35	4	2	1	1	1	NA	NA	NA	unphased	0.56980056980057	0.56980056980057	1
1	66064344	66064345	47	6	2	1	1	1	NA	NA	NA	unphased	0.628930817610063	0.628930817610063	1
1	67147696	67147697	130	25	2	1	1	1	NA	NA	NA	unphased	0.896057347670251	0.896057347670251	1
1	67469929	67469930	22	6	2	1	1	1	NA	NA	NA	unphased	1.19047619047619	1.19047619047619	1
1	75622603	75622604	120	14	2	1	1	1	NA	NA	NA	unphased	0.580431177446103	0.580431177446103	1
1	85403488	85403489	43	10	2	1	1	1	NA	NA	NA	unphased	1.0482180293501	1.0482180293501	1
1	93170177	93170178	61	11	2	1	1	1	NA	NA	NA	unphased	0.848765432098766	0.848765432098766	1
1	109479737	109479738	59	11	2	1	1	1	NA	NA	NA	unphased	0.873015873015873	0.873015873015873	1
1	109514124	109514125	66	12	2	1	1	1	NA	NA	NA	unphased	0.854700854700855	0.854700854700855	1
1	109656310	109656311	66	10	2	1	1	1	NA	NA	NA	unphased	0.730994152046784	0.730994152046784	1
1	110766119	110766120	99	16	2	1	1	1	NA	NA	NA	unphased	0.772946859903382	0.772946859903382	1
1	118581913	118581914	55	10	2	1	1	1	NA	NA	NA	unphased	0.854700854700855	0.854700854700855	1
1	144917895	144917896	344	12	2	1	1	1	NA	NA	NA	unphased	0.187265917602996	0.187265917602996	1
1	149877344	149877345	119	28	2	1	1	1	NA	NA	NA	unphased	1.05820105820106	1.05820105820106	1
1	151681767	151681768	176	27	2	1	1	1	NA	NA	NA	unphased	0.738916256157636	0.738916256157636	1
1	152192016	152192017	194	38	2	1	1	1	NA	NA	NA	unphased	0.909961685823755	0.909961685823755	1
1	152800118	152800119	76	10	2	1	1	1	NA	NA	NA	unphased	0.645994832041344	0.645994832041344	1
1	153122525	153122526	95	11	2	1	1	1	NA	NA	NA	unphased	0.576519916142558	0.576519916142558	1
1	154076560	154076561	86	22	2	1	1	1	NA	NA	NA	unphased	1.13168724279835	1.13168724279835	1
1	158736078	158736079	33	6	2	1	1	1	NA	NA	NA	unphased	0.854700854700855	0.854700854700855	1
1	158747238	158747239	132	17	2	1	1	1	NA	NA	NA	unphased	0.633855331841909	0.633855331841909	1
1	159283911	159283912	52	11	2	1	1	1	NA	NA	NA	unphased	0.970017636684303	0.970017636684303	1
1	162343752	162343753	116	19	2	1	1	1	NA	NA	NA	unphased	0.781893004115226	0.781893004115226	1
1	171254424	171254425	90	16	2	1	1	1	NA	NA	NA	unphased	0.838574423480084	0.838574423480084	1
1	175375717	175375718	149	27	2	1	1	1	NA	NA	NA	unphased	0.852272727272727	0.852272727272727	1
1	176668249	176668250	104	19	2	1	1	1	NA	NA	NA	unphased	0.858175248419151	0.858175248419151	1
1	183079767	183079768	147	20	2	1	1	1	NA	NA	NA	unphased	0.665335994677312	0.665335994677312	1
1	190423889	190423890	46	10	2	1	1	1	NA	NA	NA	unphased	0.992063492063492	0.992063492063492	1
1	200974539	200974540	58	8	2	1	1	1	NA	NA	NA	unphased	0.673400673400673	0.673400673400673	1
1	207933021	207933022	10	5	2	1	1	1	NA	NA	NA	unphased	1.85185185185185	1.85185185185185	1
1	210796966	210796967	230	45	2	1	1	1	NA	NA	NA	unphased	0.909090909090909	0.909090909090909	1
1	211093213	211093214	94	23	2	1	1	1	NA	NA	NA	unphased	1.09211775878443	1.09211775878443	1
1	216373398	216373399	80	16	2	1	1	1	NA	NA	NA	unphased	0.925925925925926	0.925925925925926	1
1	216496818	216496819	62	21	2	1	1	1	NA	NA	NA	unphased	1.40562248995984	1.40562248995984	1
1	223285670	223285671	78	15	2	1	1	1	NA	NA	NA	unphased	0.896057347670251	0.896057347670251	1
1	236924457	236924458	52	11	2	1	1	1	NA	NA	NA	unphased	0.970017636684303	0.970017636684303	1
1	247586564	247586565	131	29	2	1	1	1	NA	NA	NA	unphased	1.00694444444444	1.00694444444444	1
1	247587252	247587253	25	3	2	1	1	1	NA	NA	NA	unphased	0.595238095238095	0.595238095238095	1
1	247978692	247978693	77	6	2	1	1	1	NA	NA	NA	unphased	0.401606425702811	0.401606425702811	1
1	248512773	248512774	88	19	2	1	1	1	NA	NA	NA	unphased	0.9865005192108	0.9865005192108	1
1	248525483	248525484	174	24	2	1	1	1	NA	NA	NA	unphased	0.673400673400673	0.673400673400673	1
1	248525536	248525537	183	34	2	1	1	1	NA	NA	NA	unphased	0.870455709165387	0.870455709165387	1
1	248551407	248551408	27	5	2	1	1	1	NA	NA	NA	unphased	0.868055555555556	0.868055555555556	1
1	248637426	248637427	332	24	2	1	1	1	NA	NA	NA	unphased	0.374531835205993	0.374531835205993	1
1	248813404	248813405	26	3	NA	NA	NA	NA	NA	NA	NA	unphased	NA	NA	1
10	17882709	17882710	12	5	NA	NA	NA	NA	NA	NA	NA	unphased	NA	NA	1
10	18803259	18803260	68	16	2	1	1	1	NA	NA	NA	unphased	1.05820105820106	1.05820105820106	1
10	21250669	21250670	100	18	2	1	1	1	NA	NA	NA	unphased	0.847457627118644	0.847457627118644	1
10	27450051	27450052	51	9	2	1	1	1	NA	NA	NA	unphased	0.833333333333333	0.833333333333333	1
10	29819565	29819566	99	10	2	1	1	1	NA	NA	NA	unphased	0.509683995922528	0.509683995922528	1
10	31810321	31810322	62	8	2	1	1	1	NA	NA	NA	unphased	0.634920634920635	0.634920634920635	1
10	47086948	47086949	123	8	1.01	1	1	0.01	0	1	0.99	unphased	0.278812553011026	0.278812553011026	1
10	52912995	52912996	79	18	2	1	1	1	NA	NA	NA	unphased	1.03092783505155	1.03092783505155	1
10	55944937	55944938	56	9	2	1	1	1	NA	NA	NA	unphased	0.769230769230769	0.769230769230769	1
10	64136479	64136480	103	24	2	1	1	1	NA	NA	NA	unphased	1.0498687664042	1.0498687664042	1
10	72360336	72360337	19	8	2	1	1	1	NA	NA	NA	unphased	1.64609053497942	1.64609053497942	1
10	76818112	76818113	53	13	2	1	1	1	NA	NA	NA	unphased	1.09427609427609	1.09427609427609	1
10	95353736	95353737	50	19	2	1	1	1	NA	NA	NA	unphased	1.52979066022544	1.52979066022544	1
10	97916754	97916755	118	30	2	1	1	1	NA	NA	NA	unphased	1.12612612612613	1.12612612612613	1
10	103560037	103560038	120	7	2	1	1	1	NA	NA	NA	unphased	0.306211723534558	0.306211723534558	1
10	129904625	129904626	179	21	2	1	1	1	NA	NA	NA	unphased	0.583333333333333	0.583333333333333	1
10	134912261	134912262	109	5	2	1	1	1	NA	NA	NA	unphased	0.243664717348928	0.243664717348928	1
11	1643218	1643219	77	11	1	1	0	1	NA	NA	NA	unphased	0.569444444444444	0.569444444444444	1
11	1643239	1643240	64	6	1	1	0	1	NA	NA	NA	unphased	0.390476190476191	0.390476190476191	1
11	1651499	1651500	47	11	1	1	0	1	NA	NA	NA	unphased	0.863984674329502	0.863984674329502	1
11	3680905	3680906	28	6	1	1	0	1	NA	NA	NA	unphased	0.803921568627451	0.803921568627451	1
11	4904022	4904023	85	4	1	1	0	1	NA	NA	NA	unphased	0.204744069912609	0.204744069912609	1
11	5068469	5068470	119	30	1	1	0	1	NA	NA	NA	unphased	0.917225950782998	0.917225950782998	1
11	6291101	6291102	43	6	1	1	0	1	NA	NA	NA	unphased	0.557823129251701	0.557823129251701	1
11	6503348	6503349	61	6	1	1	0	1	NA	NA	NA	unphased	0.407960199004975	0.407960199004975	1
11	17527395	17527396	25	4	1	1	0	1	NA	NA	NA	unphased	0.628352490421456	0.628352490421456	1
11	47330579	47330580	60	13	1	1	0	1	NA	NA	NA	unphased	0.811263318112633	0.811263318112633	1
11	47353780	47353781	54	15	1	1	0	1	NA	NA	NA	unphased	0.990338164251208	0.990338164251208	1
11	47603752	47603753	90	27	1	1	0	1	NA	NA	NA	unphased	1.05128205128205	1.05128205128205	1
