chr	pos
1	67635073
1	109813557
1	154938892
1	156236063
1	198703553
2	141242991
2	170032980
2	220135957
2	240500083
3	41266097
3	49842031
3	129207109
3	142396911
3	155611487
3	172061888
3	178952085
4	175598257
4	183714528
5	40764721
6	26452317
6	31379863
7	30668230
7	39243867
7	100799995
7	113519214
9	125562840
9	139417591
10	73558192
11	24518841
11	47611543
11	103059234
11	132177634
12	4714162
12	12815027
12	57619327
13	109707440
14	97031314
15	65899518
15	85401200
16	67654607
16	81641227
18	10855487
19	6710653
19	10077059
19	57286803
21	40969852
22	20096421
22	33673046
22	36962420
22	43901523
22	51159751
X	62570025
X	75649041
X	118971920
X	129506897
X	135310849
X	151303895
