chr	pos
1	2519968
1	46179946
1	47608994
1	82421687
1	115130509
1	155004069
1	247323000
1	248813322
2	65299194
2	85780433
2	101654920
2	170031819
2	220108252
3	52525405
3	65376868
4	38893436
4	155180800
5	140307730
5	149915331
5	167675300
6	56480235
7	2752024
7	97482450
7	142111483
8	82392665
10	12238313
10	26482183
10	69571296
11	95512069
11	134080162
12	1943492
12	50349300
12	55357560
12	103700000
14	90509453
14	106641975
15	65960387
16	2338249
16	28846701
17	3491593
17	7578458
17	11835397
17	37118156
17	48447454
17	61483616
17	79872257
19	1041546
19	2129435
19	50099877
19	54198493
19	58232671
22	25747709
22	36116679
