chr	pos
1	23782639
1	34238348
1	38187426
1	43316994
1	47606542
1	57491653
1	100159736
1	109795405
1	151259083
1	152280751
1	152284999
1	154317927
1	216896662
1	220936343
1	237778086
1	237991690
1	248801812
2	11053235
2	23974800
2	25359452
2	33012051
2	39240624
2	48032087
2	80816448
2	131673224
2	196593068
3	44489660
3	46062772
3	48895081
3	52436342
3	78717051
3	121191009
3	128987385
3	130311932
3	136240223
3	139075837
4	5564752
4	93225748
4	113362487
4	117220909
4	155158082
4	165879255
5	15936846
5	55212559
5	112175390
5	112478936
5	140432730
5	140754698
5	140812476
5	176868754
5	178506885
6	26373307
6	32014069
6	34951143
6	43612965
6	112441658
6	118801636
6	137815017
6	160164786
7	1484768
7	44578421
7	77762255
8	2048676
8	2910135
8	3047474
8	15621834
8	22785141
8	32617765
8	79629673
8	145642095
9	26920307
9	34724201
9	35689857
9	131553694
10	12021101
10	54050008
10	81373600
10	98078272
10	100195049
10	114911576
11	1501971
11	7022736
11	57507584
11	59837146
11	64756512
11	131781518
12	10224014
12	11285922
12	25398284
12	56865353
12	107713208
12	113307748
13	58206826
13	84453564
13	103514721
14	24530145
14	77872318
14	94733316
14	102446865
14	102918906
14	105614531
15	65681151
15	90159689
16	10788510
16	50346929
16	67964429
17	39596778
18	671387
18	25532097
18	28979361
18	44555097
19	8591767
19	8996454
19	9324783
19	21299916
19	52090220
19	53611786
20	5539418
20	32248100
20	40944555
20	45194884
21	27372462
21	30909579
21	47361674
22	19808858
22	24951594
22	37770829
22	46932000
22	50523238
22	50615968
X	12736750
X	12838893
X	27840761
X	77150803
X	118223672
X	119293067
X	119293076
X	142717611
