chr	pos
1	1148405
1	10292482
1	11090302
1	45923458
1	104202996
1	110217403
1	110217413
2	26671662
2	74666743
2	88870483
2	101591316
2	160710869
2	173349859
2	203661648
2	208632596
2	220396490
2	220396491
2	241556456
3	57488129
4	85569912
4	87671632
4	90170165
4	174309467
4	187629931
6	13364916
6	47650245
6	84649905
7	30102304
7	31862740
7	80432076
7	86539226
7	86541390
7	127235734
7	150754948
7	150774309
8	29207816
8	76456145
8	90802606
8	93017401
8	101589258
8	145541933
9	14823308
9	75357381
9	95784668
10	74034535
10	85933664
11	43418961
11	66192368
11	66627358
11	77911274
11	108170450
12	11214315
12	25264722
12	30818715
12	30818751
12	53201573
12	116457671
12	133428223
13	102250584
14	21250158
14	45693191
14	53513502
14	59112942
15	65502037
15	66015198
15	89868709
17	8013483
17	56603077
18	64239269
19	9074121
19	14015677
19	19371864
19	38895746
20	17475376
20	55948566
20	62121900
22	26884148
22	31667167
X	5821237
