key_chr	key_pos	r_ccf	fast_ccf
1	150483881	1.27234455617523	1
1	158644338	0.65769524526065	0.2581
1	165876981	1.20435910423478	1
10	17737165	1.30507685142059	1
11	7111241	1.28822055137845	1
12	122018776	1.16637614334983	0.8569
15	43771675	0.971304591265398	0.9781
18	48256146	0.993839437302935	1
2	128322932	0.899391335481561	0.8994
21	45815319	0.586140350877193	0.5981
3	169637321	0.894740784545634	0.7685
3	194080235	0.827231638418079	0.7761
7	103151432	0.850540637307555	1
7	150324760	1.33119013750593	0.9433
7	87536810	1.40977560179519	1
9	125796810	1.28205128205128	1
